two_theta,intensity
10,123.97
10.02,117.26
10.04,126.21
10.06,127.17
10.08,112.72
10.1,115.97
10.12,123.12
10.14,120.91
10.16,122.41
10.18,118.23
10.2,126.9
10.22,126.4
10.24,122.84
10.26,128.15
10.28,124.86
10.3,118.23
10.32,124.38
10.34,117.74
10.36,126.94
10.38,122.3
10.4,121.63
10.42,119.15
10.44,128.68
10.46,121.8
10.48,120.43
10.5,120.82
10.52,125.25
10.54,124.42
10.56,124.66
10.58,124.76
10.6,133.31
10.62,120.58
10.64,120.06
10.66,118.55
10.68,125.71
10.7,128.28
10.72,122.07
10.74,118.44
10.76,118.53
10.78,125.91
10.8,126.38
10.82,125.38
10.84,119.34
10.86,123.84
10.88,123.26
10.9,123.78
10.92,127.05
10.94,123.81
10.96,126.1
10.98,123.04
11,124.16
11.02,125.87
11.04,115.44
11.06,121.13
11.08,120.38
11.1,119.54
11.12,121.37
11.14,130.22
11.16,118.43
11.18,127.6
11.2,114.35
11.22,121.1
11.24,123.59
11.26,125.71
11.28,126.34
11.3,126.76
11.32,121.05
11.34,120.49
11.36,127.1
11.38,121.86
11.4,116.44
11.42,117.16
11.44,118.23
11.46,125.32
11.48,123.55
11.5,126.3
11.52,120.71
11.54,123.65
11.56,125.99
11.58,121.32
11.6,125.15
11.62,119.57
11.64,121.07
11.66,120.98
11.68,116.91
11.7,125.33
11.72,120.56
11.74,122.97
11.76,125.32
11.78,125.15
11.8,126.25
11.82,122.44
11.84,120.82
11.86,122.54
11.88,114.51
11.9,115.72
11.92,116.34
11.94,117.98
11.96,124.97
11.98,118.45
12,121.09
12.02,129.48
12.04,121.21
12.06,126.68
12.08,118.33
12.1,121.98
12.12,118.26
12.14,121.32
12.16,127.22
12.18,114.39
12.2,125.2
12.22,124.23
12.24,120.07
12.26,115.82
12.28,123.41
12.3,120.41
12.32,124.23
12.34,123.18
12.36,131.08
12.38,121.88
12.4,117.97
12.42,123.99
12.44,124.2
12.46,129.9
12.48,127.28
